CountryCode;Year;GDP;GdpGrowth;InflationRate
ZAF;2019;6582,76;0,26;4,12
ZAF;2020;5630,98;-6,17;3,28
ZAF;2021;6938,72;4,96;4,56
ZAF;2022;6629,42;1,91;6,87
ZAF;2023;6111,75;0,70;5,90
ZAF;2024;6377,07;1,05;4,70
ZAF;2025;6517,09;1,49;4,47
ZAF;2026;6643,39;1,48;4,50
ZAF;2027;6761,91;1,54;4,50
ZAF;2028;6873,11;1,46;4,50
ZAF;2029;6996,42;1,49;4,50
